t,s,v,y
90,1.5688962,-1.1984526,-0.60954374
91,-0.50074381,1.3761195,0.32678631
92,-1.8176963,-0.45874214,-1.9823308
93,1.5214601,0.69525337,0.4326157
94,-1.1315705,2.4463785,1.7041621
95,-1.4386984,0.42370406,0.51875156
96,-0.04403409,0.23990515,0.66274744
97,0.33591118,0.52960157,1.4619855
98,-0.045227416,0.81481892,2.0853784
99,-1.2999163,-1.3337666,-0.75684226
100,-0.35433146,0.92166668,-0.11382281
101,-2.1515665,0.65161818,-1.6023889
102,-0.31666866,1.8641731,0.10535442
103,0.61742151,-0.60166377,0.11057672
104,0.41914192,1.1367711,1.6554321
105,0.68979234,-2.6509364,-0.47125512
106,1.0220239,1.2437919,1.8416862
107,1.0533956,-0.45770848,2.2532048
108,-0.49493992,0.80362058,2.336565
109,-1.3543683,0.63907707,1.3876172
110,-0.1552978,1.9715977,3.0651553
111,-1.1502708,2.3126857,3.9210546
112,1.4590324,0.12199975,5.1099815
113,1.2116764,-1.6566781,4.1539817
114,-0.42926982,0.94803327,4.2573471
115,0.62154114,-1.2638648,3.1892889
116,-1.579594,-0.24277163,1.0479944
117,0.55235237,0.11544072,1.610988
118,0.71503735,0.54726243,2.712189
119,1.5216225,-1.2406967,2.7218959
120,-0.14866927,0.25263676,2.5536737
121,-0.23479357,2.1387758,4.2022886
122,-1.3703744,0.86986011,3.2815454
123,0.2417662,-0.33785167,2.8573053
124,-0.21049909,-0.036595359,2.3244803
125,-0.066230461,-0.44273463,1.5830672
126,-0.89581281,0.29746929,0.82641697
127,1.0303122,0.30350047,2.0775878
128,0.46531513,-0.91031796,1.4248263
129,-1.5464879,-1.9416343,-2.2057786
130,0.34955373,1.7162515,0.080604486
131,-1.2204914,0.16564411,-0.98230326
132,1.3654815,1.0294404,1.510849
133,0.44275206,0.15280586,1.955322
134,-0.12311884,0.02761054,1.6642815
135,-0.66850257,1.1090792,1.9384301
136,0.78303611,0.2548131,2.7824364
137,0.67788899,1.0199453,4.2020268
138,0.18543208,-1.0385944,2.9286618
139,-0.41091922,-2.1992924,0.025584001
140,-0.14000922,-0.21668777,-0.33367139
141,0.1104344,0.61838663,0.42851678
142,-0.86134988,-1.4090531,-1.8847378
143,-0.76645762,-0.22702637,-2.689748
144,-0.66003817,-0.55216551,-3.632977
145,0.68058974,0.99925524,-1.5898343
146,1.8311772,-1.5518141,-1.1514877
147,-1.3893039,-0.34721655,-2.7728593
148,-0.77387667,0.95430738,-2.3151426
149,0.46688011,1.2547266,-0.3620216
150,0.74659437,-0.19213489,0.22864005
151,-1.0588788,0.079976752,-0.77312601
152,-1.6172926,0.96338582,-1.3497202
153,0.15884171,1.541641,0.48573449
154,-0.76598865,-0.74646842,-1.075296
155,-0.37757498,1.4292508,0.083909415
156,-0.14874412,-0.83412683,-0.90735251
157,-0.71951967,1.9858092,0.44967228
158,-0.4900862,0.21691793,0.13153678
159,1.3160172,-0.7806645,0.65373576
160,-0.0041302247,1.079726,1.663958
161,-1.6819971,0.3508735,0.16643859
162,0.091072842,-0.71449739,-0.4736298
163,0.6386565,0.26912782,0.48151749
164,-1.0746883,0.36685047,-0.27447212
165,-0.5930059,-0.91131324,-1.7513441
166,0.34799024,-0.45783442,-1.6860539
167,0.29128841,1.1090914,-0.11706868
168,-0.20156561,-1.2137568,-1.5206842
169,0.26206195,0.040828422,-1.0657254
170,-1.038289,-1.9881945,-3.9856362
171,0.85757238,-0.34417868,-3.073679
172,0.86336154,-0.021413408,-1.9243629
173,0.67368895,0.41750062,-0.64073706
174,-1.281852,-0.43309298,-2.2916083
175,-0.90546095,-1.9628726,-4.9307809
176,1.0361427,-1.0396286,-4.4411888
177,1.7638128,-0.45190445,-2.6851616
178,0.020149121,0.66257322,-1.7339231
179,-0.18379943,-0.72937429,-2.4737046
180,0.1974877,-0.14016636,-2.1690128
181,-1.3538774,0.5828076,-2.7231812
182,0.66930515,0.039024428,-1.7425336
183,0.25527689,-0.74396396,-2.0569673
184,-0.95437646,-0.73566443,-3.5413115
185,0.51530474,-0.16808532,-2.8399608
186,1.3858967,0.89482623,-0.27524182
187,0.70331293,1.1206332,1.5762285
188,1.80047,-0.32855129,2.8905244
189,0.76926553,1.5353184,4.9060559
190,-0.15429863,1.2806587,5.5418105
191,0.3651787,1.145784,6.4985924
192,0.82642335,-0.6122148,6.0629416
193,0.25212365,-0.40073565,5.3080354
194,1.7051753,-0.034157023,6.4482503
195,0.27095592,1.7094448,7.7838259
196,-1.5055847,0.8202709,6.3201294
197,0.17202526,-0.80385453,5.0562873
198,-0.85800099,1.7876635,5.4803209
199,-1.562059,1.366696,4.7369256
200,0.61191678,1.7392542,6.6144042
