t,s,v,y
56,.23314311,-.55806851,3.1157198
57,-1.8516711,1.3751469,2.3276236
58,-.95185488,-.18426703,.95873934
59,-2.4254036,.99151355,-.57102466
60,-.24509397,-.15204448,-.91106063
61,-1.0072293,1.4255427,-.40164119
62,-.71451533,-.99295294,-2.0689454
63,-1.5142689,-.22576243,-3.6020823
64,.88605791,-.15722811,-2.5130441
65,-.31747869,1.2589529,-1.3202655
66,-1.3009362,-.98122555,-3.4704008
67,.63895243,1.0805193,-1.4038889
68,.71902817,.89523804,.35076618
69,.5135209,-.71301931,.11619115
70,-.78873748,1.3978344,.713669
71,1.2295784,-.63869208,1.2331884
72,.32075027,1.4042542,2.8348739
73,1.5087081,.74147886,4.8015733
74,-.88397366,-.090380304,3.3470619
75,.56340069,-.86063701,2.7151194
76,-1.0025464,.54483616,1.9858972
77,-.25545648,-2.2463684,-.71451741
78,1.1857013,-.29244468,.25019091
79,-1.483824,.74196589,-.51668632
80,-1.2074326,.16981918,-1.5026312
81,-1.4904104,-.45879501,-3.3015735
82,-1.0215993,-1.2322649,-5.2252803
83,1.7180535,.25886178,-2.725837
84,-.13092695,.16527659,-2.4189036
85,.16298102,-.87186074,-2.8858929
86,-.99964184,.4520143,-3.1449311
87,-.76660103,.83581662,-2.7612224
88,.074602641,.67417395,-1.7363235
89,-1.2690139,1.7428302,-1.0888748
90,1.5688962,-1.1984526,-.60954374
91,-.50074381,1.3761195,.32678631
92,-1.8176963,-.45874214,-1.9823308
93,1.5214601,.69525337,.4326157
94,-1.1315705,2.4463785,1.7041621
95,-1.4386984,.42370406,.51875156
96,-.04403409,.23990515,.66274744
97,.33591118,.52960157,1.4619855
98,-.045227416,.81481892,2.0853784
99,-1.2999163,-1.3337666,-.75684226
100,-.35433146,.92166668,-.11382281
101,-2.1515665,.65161818,-1.6023889
102,-.31666866,1.8641731,.10535442
103,.61742151,-.60166377,.11057672
104,.41914192,1.1367711,1.6554321
105,.68979234,-2.6509364,-.47125512
106,1.0220239,1.2437919,1.8416862
107,1.0533956,-.45770848,2.2532048
108,-.49493992,.80362058,2.336565
109,-1.3543683,.63907707,1.3876172
110,-.1552978,1.9715977,3.0651553
111,-1.1502708,2.3126857,3.9210546
112,1.4590324,.12199975,5.1099815
113,1.2116764,-1.6566781,4.1539817
114,-.42926982,.94803327,4.2573471
115,.62154114,-1.2638648,3.1892889
116,-1.579594,-.24277163,1.0479944
117,.55235237,.11544072,1.610988
118,.71503735,.54726243,2.712189
119,1.5216225,-1.2406967,2.7218959
120,-.14866927,.25263676,2.5536737
121,-.23479357,2.1387758,4.2022886
122,-1.3703744,.86986011,3.2815454
123,.2417662,-.33785167,2.8573053
124,-.21049909,-.036595359,2.3244803
125,-.066230461,-.44273463,1.5830672
126,-.89581281,.29746929,.82641697
127,1.0303122,.30350047,2.0775878
128,.46531513,-.91031796,1.4248263
129,-1.5464879,-1.9416343,-2.2057786
130,.34955373,1.7162515,.080604486
131,-1.2204914,.16564411,-.98230326
132,1.3654815,1.0294404,1.510849
133,.44275206,.15280586,1.955322
134,-.12311884,.02761054,1.6642815
135,-.66850257,1.1090792,1.9384301
136,.78303611,.2548131,2.7824364
137,.67788899,1.0199453,4.2020268
138,.18543208,-1.0385944,2.9286618
139,-.41091922,-2.1992924,.025584001
140,-.14000922,-.21668777,-.33367139
141,.1104344,.61838663,.42851678
142,-.86134988,-1.4090531,-1.8847378
143,-.76645762,-.22702637,-2.689748
144,-.66003817,-.55216551,-3.632977
145,.68058974,.99925524,-1.5898343
146,1.8311772,-1.5518141,-1.1514877
147,-1.3893039,-.34721655,-2.7728593
148,-.77387667,.95430738,-2.3151426
149,.46688011,1.2547266,-.3620216
150,.74659437,-.19213489,.22864005
151,-1.0588788,.079976752,-.77312601
152,-1.6172926,.96338582,-1.3497202
153,.15884171,1.541641,.48573449
154,-.76598865,-.74646842,-1.075296
155,-.37757498,1.4292508,.083909415
156,-.14874412,-.83412683,-.90735251
157,-.71951967,1.9858092,.44967228
158,-.4900862,.21691793,.13153678
159,1.3160172,-.7806645,.65373576
160,-.0041302247,1.079726,1.663958
161,-1.6819971,.3508735,.16643859
162,.091072842,-.71449739,-.4736298
163,.6386565,.26912782,.48151749
164,-1.0746883,.36685047,-.27447212
165,-.5930059,-.91131324,-1.7513441
166,.34799024,-.45783442,-1.6860539
167,.29128841,1.1090914,-.11706868
168,-.20156561,-1.2137568,-1.5206842
169,.26206195,.040828422,-1.0657254
170,-1.038289,-1.9881945,-3.9856362
171,.85757238,-.34417868,-3.073679
172,.86336154,-.021413408,-1.9243629
173,.67368895,.41750062,-.64073706
174,-1.281852,-.43309298,-2.2916083
175,-.90546095,-1.9628726,-4.9307809
176,1.0361427,-1.0396286,-4.4411888
177,1.7638128,-.45190445,-2.6851616
178,.020149121,.66257322,-1.7339231
179,-.18379943,-.72937429,-2.4737046
180,.1974877,-.14016636,-2.1690128
181,-1.3538774,.5828076,-2.7231812
182,.66930515,.039024428,-1.7425336
183,.25527689,-.74396396,-2.0569673
184,-.95437646,-.73566443,-3.5413115
185,.51530474,-.16808532,-2.8399608
186,1.3858967,.89482623,-.27524182
187,.70331293,1.1206332,1.5762285
188,1.80047,-.32855129,2.8905244
189,.76926553,1.5353184,4.9060559
190,-.15429863,1.2806587,5.5418105
191,.3651787,1.145784,6.4985924
192,.82642335,-.6122148,6.0629416
193,.25212365,-.40073565,5.3080354
194,1.7051753,-.034157023,6.4482503
195,.27095592,1.7094448,7.7838259
196,-1.5055847,.8202709,6.3201294
197,.17202526,-.80385453,5.0562873
198,-.85800099,1.7876635,5.4803209
199,-1.562059,1.366696,4.7369256
200,.61191678,1.7392542,6.6144042
